ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
11,25-34,Female,University degree,UK,White,26,45,38,38,53,0.19268,0.07987,Used in Last Week,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used over a Decade Ago
12,45-54,Male,"Some college or university, no certificate or degree",Other,White,24,40,47,30,38,0.52975,1.2247,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Week,Used in Last Decade,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
13,55-64,Female,University degree,UK,White,56,41,49,32,36,1.29221,0.07987,Used in Last Week,Used over a Decade Ago,Never Used,Used in Last Month,Used in Last Day,Used in Last Year,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
14,55-64,Female,Professional certificate/ diploma,Canada,White,28,45,46,49,59,-0.71126,-0.84637,Used over a Decade Ago,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
15,55-64,Female,Professional certificate/ diploma,UK,White,27,49,49,39,52,1.29221,0.7654,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
16,55-64,Male,University degree,UK,White,19,29,35,36,49,-0.71126,-0.52593,Used in Last Week,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
17,35-44,Female,"Some college or university, no certificate or degree",UK,White,22,34,34,45,47,-0.21712,-2.07848,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
18,45-54,Male,Left school at 16 years,UK,White,41,31,44,40,31,-1.37983,-0.84637,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Day,Used in Last Month,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
19,55-64,Male,University degree,Australia,White,49,39,45,30,30,-0.71126,-0.21575,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used
20,35-44,Male,Professional certificate/ diploma,UK,White,32,27,29,30,47,-1.37983,-2.07848,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used over a Decade Ago,Never Used,Never Used
21,45-54,Male,Professional certificate/ diploma,UK,White,28,45,51,53,33,0.19268,-0.21575,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Year,Never Used,Never Used
22,65+,Male,Left school before 16 years,UK,White,25,43,38,39,53,-0.21712,-1.18084,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
23,45-54,Male,University degree,UK,White,40,33,40,50,35,-0.71126,0.07987,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
24,45-54,Male,Left school at 16 years,UK,White,51,16,37,45,34,-1.37983,-1.54858,Used in Last Day,Used in Last Decade,Used over a Decade Ago,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Never Used,Used over a Decade Ago
25,55-64,Male,University degree,UK,White,34,44,54,48,51,-0.21712,-0.52593,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
26,45-54,Male,"Some college or university, no certificate or degree",UK,White,28,37,37,49,42,-0.21712,0.40148,Used in Last Week,Used over a Decade Ago,Used in Last Decade,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Year,Used in Last Decade,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Never Used
27,55-64,Female,Left school at 18 years,Canada,White,35,28,24,38,46,0.19268,-1.54858,Used in Last Day,Never Used,Never Used,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
28,35-44,Male,University degree,UK,White,41,31,46,43,25,1.86203,0.40148,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Year,Used in Last Decade,Never Used,Never Used
29,35-44,Female,Masters degree,UK,White,36,29,41,45,50,0.19268,-0.52593,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Month,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
30,45-54,Male,Doctorate degree,UK,White,24,51,52,49,53,-0.21712,-0.52593,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
31,45-54,Male,Left school at 16 years,UK,White,39,34,37,33,37,-1.37983,0.07987,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used
32,35-44,Female,Left school at 16 years,Other,White,25,34,47,39,42,-1.37983,-0.84637,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
33,35-44,Male,University degree,UK,White,28,31,46,46,42,0.19268,-0.84637,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Year,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
34,18-24,Male,University degree,UK,White,40,38,48,51,41,-0.71126,-1.54858,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35,35-44,Male,University degree,USA,Other,46,44,52,23,36,0.52975,1.92173,Used in Last Month,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Week,Used in Last Decade,Used in Last Week,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Week,Never Used,Used over a Decade Ago
36,65+,Male,Left school before 16 years,UK,White,33,34,28,41,36,0.52975,-1.54858,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
37,35-44,Male,University degree,UK,White,33,36,45,43,30,-0.21712,-0.21575,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
38,55-64,Male,Left school before 16 years,USA,White,39,42,53,44,37,0.52975,-0.52593,Used in Last Day,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Used in Last Year,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
39,45-54,Male,University degree,UK,White,22,48,48,43,47,-0.21712,-0.84637,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Used in Last Month,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
40,65+,Female,Professional certificate/ diploma,UK,White,33,33,38,38,45,-1.37983,-0.21575,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used in Last Month,Never Used,Used over a Decade Ago,Never Used,Never Used
41,35-44,Male,Masters degree,UK,White,36,37,46,29,47,-0.71126,0.07987,Used in Last Week,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
42,35-44,Female,University degree,UK,White,44,40,53,54,39,-0.21712,-0.21575,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
43,35-44,Male,Masters degree,UK,White,34,33,37,43,37,-0.21712,-0.52593,Used in Last Day,Never Used,Used in Last Year,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Month,Used in Last Day,Never Used,Used in Last Month,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
44,35-44,Male,Professional certificate/ diploma,UK,White,27,36,44,42,34,-0.21712,-0.21575,Used in Last Day,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Year,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45,25-34,Male,University degree,UK,Other,26,49,49,51,48,-0.21712,0.07987,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
46,25-34,Female,University degree,UK,White,31,43,54,49,52,-1.37983,-2.07848,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
47,45-54,Female,"Some college or university, no certificate or degree",Canada,White,39,44,38,45,51,-0.71126,-0.84637,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used in Last Decade,Never Used,Used over a Decade Ago
48,45-54,Male,Masters degree,UK,White,19,45,48,49,49,-2.55524,-1.18084,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
49,45-54,Male,Left school at 16 years,UK,White,37,34,44,42,37,0.19268,-0.84637,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Week,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
50,25-34,Female,Masters degree,UK,Mixed-White/Black,44,36,32,37,44,0.52975,1.2247,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
51,35-44,Male,Masters degree,UK,White,46,39,45,35,42,-0.71126,-0.84637,Used in Last Day,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Decade,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
52,45-54,Male,Professional certificate/ diploma,Canada,White,47,46,42,37,27,1.86203,1.92173,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used
53,55-64,Female,University degree,UK,White,34,40,36,45,36,0.52975,-1.54858,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
54,45-54,Male,Masters degree,UK,White,23,39,53,45,44,-0.21712,-0.21575,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
55,55-64,Male,Left school at 16 years,UK,White,36,47,42,36,33,1.29221,1.2247,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Day,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
56,55-64,Female,Professional certificate/ diploma,UK,White,36,35,38,40,39,-1.37983,-2.07848,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
57,35-44,Female,"Some college or university, no certificate or degree",UK,White,36,40,34,43,44,-1.37983,-1.54858,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
58,25-34,Female,University degree,UK,White,30,44,32,45,47,-0.71126,-0.52593,Used over a Decade Ago,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
59,45-54,Male,Left school at 18 years,UK,White,38,44,46,40,39,1.86203,1.2247,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Week,Used in Last Week,Used in Last Week,Used in Last Decade,Used in Last Year,Used over a Decade Ago,Used in Last Year,Used in Last Year,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used over a Decade Ago
60,45-54,Male,University degree,UK,White,31,31,37,32,41,-1.37983,-1.54858,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
61,25-34,Female,Doctorate degree,UK,White,49,42,48,41,40,-1.37983,0.07987,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
62,45-54,Male,Masters degree,UK,Asian,18,50,54,44,50,-1.37983,-1.18084,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Used in Last Month,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago
63,25-34,Male,University degree,UK,White,30,30,33,34,45,-1.37983,-1.18084,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used
64,45-54,Male,University degree,UK,White,46,38,41,39,42,-1.37983,-1.18084,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
65,45-54,Male,Doctorate degree,UK,White,22,43,53,40,48,-1.37983,-0.52593,Used in Last Day,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
66,35-44,Male,"Some college or university, no certificate or degree",UK,White,43,43,40,50,46,0.52975,-0.21575,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
67,45-54,Male,Left school at 16 years,UK,White,26,35,38,51,45,-0.71126,-1.18084,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
68,25-34,Male,Masters degree,UK,White,32,38,53,37,41,0.88113,-0.21575,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Week,Never Used,Never Used
69,35-44,Male,Professional certificate/ diploma,Other,White,27,40,48,42,40,-0.21712,0.07987,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Week,Used in Last Decade,Used in Last Day,Used in Last Year,Never Used,Used in Last Decade,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
70,45-54,Female,Left school at 16 years,UK,White,35,35,34,45,42,-1.37983,-0.84637,Used in Last Day,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
71,25-34,Male,"Some college or university, no certificate or degree",UK,White,32,38,47,30,40,0.52975,0.7654,Used in Last Day,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Month,Used in Last Decade,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Never Used,Used over a Decade Ago
72,45-54,Female,Left school at 18 years,Canada,White,31,47,44,50,43,-2.55524,-0.84637,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
73,45-54,Male,Left school at 18 years,UK,White,22,46,46,46,48,0.19268,0.40148,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
74,45-54,Male,Professional certificate/ diploma,UK,White,29,36,44,45,49,-0.71126,-0.21575,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
75,65+,Female,Left school at 16 years,UK,White,25,27,26,33,44,0.52975,-2.07848,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
76,25-34,Male,University degree,UK,White,34,41,35,38,39,0.52975,-0.21575,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
77,45-54,Female,Left school at 17 years,Canada,White,32,35,35,46,46,-2.55524,-2.07848,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
78,35-44,Male,University degree,UK,White,37,28,42,35,39,-0.21712,-2.07848,Used in Last Year,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Never Used,Never Used
79,35-44,Male,"Some college or university, no certificate or degree",UK,White,28,34,31,32,25,-2.55524,-1.18084,Used in Last Day,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used over a Decade Ago
80,35-44,Male,Professional certificate/ diploma,UK,White,32,34,32,50,37,-0.21712,-0.21575,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
81,65+,Female,Doctorate degree,Canada,White,36,42,49,42,51,-0.21712,-0.21575,Used in Last Day,Never Used,Never Used,Used in Last Year,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
